pickup_datetime,dropoff_datetime,trip_duration,trip_distance,total_amount,max_precipitation,avg_temperature
2016-06-09 11:13:01,2016-06-09 11:50:16,2235.0,0.0,52.8,0.0,12.4
2016-06-16 11:21:12,2016-06-16 12:01:35,2423.0,17.1,69.99,0.0,21.75
2016-06-22 06:17:20,2016-06-22 06:46:11,1731.0,16.9,65.34,0.0,21.3
2016-06-18 05:38:34,2016-06-18 06:03:51,1517.0,16.88,72.92,0.0,17.7
2016-06-06 13:45:49,2016-06-06 14:34:20,2911.0,22.04,58.34,0.0,28.233333333333334
2016-05-08 17:06:07,2016-05-08 17:56:25,3018.0,17.45,72.92,0.0,17.8
2016-06-29 15:13:34,2016-06-29 16:08:17,3283.0,17.1,70.01,0.0,24.45
2016-05-19 12:35:27,2016-05-19 13:02:11,1604.0,16.6,67.34,0.0,19.85
2016-06-24 15:15:31,2016-06-24 16:33:23,4672.0,15.77,70.01,0.0,26.966666666666665
2016-05-20 18:20:22,2016-05-20 19:21:34,3672.0,16.9,75.39,0.0,12.6
2016-06-11 11:54:47,2016-06-11 12:30:29,2142.0,17.01,63.36,0.0,19.983333333333334
2016-06-02 19:12:00,2016-06-02 20:11:19,3559.0,17.72,57.3,0.0,14.3
2016-05-30 13:09:07,2016-05-30 13:41:04,1917.0,18.2,69.99,0.0,25.9
2016-05-17 06:02:02,2016-05-17 06:36:57,2095.0,17.3,58.34,0.0,4.433333333333334
2016-05-09 10:55:32,2016-05-09 11:31:01,2129.0,16.8,68.34,0.0,20.0
2016-06-12 15:17:49,2016-06-12 16:10:57,3188.0,17.83,58.34,0.0,19.5875
2016-05-11 14:30:12,2016-05-11 15:43:32,4400.0,17.1,69.99,0.0,18.5
2016-05-27 14:55:05,2016-05-27 16:37:49,6164.0,16.5,75.84,0.0,25.31111111111111
2016-06-19 17:41:14,2016-06-19 18:43:35,3741.0,17.6,58.34,0.0,23.25
2016-06-12 06:29:54,2016-06-12 07:02:52,1978.0,19.23,63.36,0.0,26.6125
2016-05-27 06:46:39,2016-05-27 07:32:22,2743.0,17.4,66.34,0.0,18.516666666666666
2016-05-29 14:24:33,2016-05-29 15:17:01,3148.0,21.61,66.0,0.0,25.933333333333334
2016-06-22 14:06:04,2016-06-22 15:05:37,3573.0,17.5,65.34,0.0,30.083333333333332
2016-06-09 14:24:22,2016-06-09 15:20:25,3363.0,16.83,58.34,0.0,19.0375
2016-05-31 23:12:23,2016-05-31 23:47:51,2128.0,16.54,70.01,0.0,15.733333333333333
2016-05-16 06:26:18,2016-05-16 07:04:06,2268.0,17.8,68.34,0.0,5.083333333333333
2016-05-28 11:13:17,2016-05-28 11:53:36,2419.0,21.29,66.34,0.0,29.1
2016-06-03 05:10:21,2016-06-03 05:34:25,1444.0,16.81,64.34,0.0,17.866666666666667
2016-06-14 08:27:44,2016-06-14 09:27:49,3605.0,18.27,70.01,0.0,18.533333333333335
2016-05-25 17:42:55,2016-05-25 19:02:33,4778.0,17.5,62.84,0.0,19.66
2016-05-09 04:54:05,2016-05-09 05:29:19,2114.0,18.13,63.36,0.0,11.466666666666667
2016-05-29 09:21:33,2016-05-29 09:49:06,1653.0,17.36,58.34,0.0,25.933333333333334
2016-06-14 14:56:04,2016-06-14 15:55:11,3547.0,20.2,70.01,0.0,21.95
2016-05-11 15:29:52,2016-05-11 16:38:21,4109.0,16.61,70.01,0.0,21.55
2016-05-11 10:25:42,2016-05-11 11:01:08,2126.0,17.08,70.01,0.0,13.516666666666667
2016-06-15 08:01:13,2016-06-15 08:50:35,2962.0,17.56,70.01,0.0,22.233333333333334
2016-05-01 10:38:49,2016-05-01 11:11:42,1973.0,17.3,58.34,1.62,5.175
2016-05-06 06:44:14,2016-05-06 07:29:47,2733.0,17.93,70.01,3.96,4.571428571428571
2016-05-30 09:00:20,2016-05-30 09:27:09,1609.0,17.7,58.34,0.0,15.575
2016-05-31 08:35:14,2016-05-31 09:25:27,3013.0,22.3,69.99,0.0,17.225
2016-05-15 13:48:47,2016-05-15 14:43:30,3283.0,17.23,64.34,0.0,8.883333333333333
2016-06-27 16:48:35,2016-06-27 18:06:42,4687.0,17.17,62.84,0.0,16.788888888888888
2016-05-09 13:13:54,2016-05-09 13:54:06,2412.0,16.4,75.84,0.0,22.033333333333335
2016-06-13 12:28:56,2016-06-13 13:04:57,2161.0,16.91,58.34,0.0,22.5
2016-05-07 10:23:47,2016-05-07 11:05:01,2474.0,16.76,63.36,0.0,8.17
2016-06-23 06:59:09,2016-06-23 07:34:13,2104.0,15.88,70.01,0.0,18.333333333333332
2016-05-02 08:08:33,2016-05-02 08:58:04,2971.0,17.3,58.34,0.0,9.1
2016-05-26 14:19:19,2016-05-26 15:30:27,4268.0,17.1,68.34,0.0,29.916666666666668
2016-06-26 15:03:39,2016-06-26 15:54:45,3066.0,17.3,69.99,0.0,27.033333333333335
2016-05-04 15:54:39,2016-05-04 17:17:19,4960.0,15.19,70.01,1.04,2.8157894736842106
2016-05-08 14:21:36,2016-05-08 15:10:40,2944.0,16.93,67.34,0.0,18.25
2016-05-07 20:45:57,2016-05-07 21:30:34,2677.0,16.4,72.92,0.0,8.6125
2016-05-24 13:42:58,2016-05-24 14:19:23,2185.0,16.8,58.34,0.0,21.85
2016-06-06 14:29:59,2016-06-06 15:29:34,3575.0,21.9,69.99,0.0,28.233333333333334
2016-05-23 12:33:18,2016-05-23 13:18:28,2710.0,16.7,58.34,0.0,11.833333333333334
2016-05-06 16:30:47,2016-05-06 17:46:25,4538.0,17.18,71.62,0.0,9.833333333333334
2016-06-03 06:39:30,2016-06-03 07:14:39,2109.0,17.89,58.34,0.29,17.714285714285715
2016-06-09 12:30:32,2016-06-09 13:17:42,2830.0,16.85,70.01,0.0,14.82857142857143
2016-06-27 18:05:00,2016-06-27 19:19:05,4445.0,17.97,74.49,0.0,23.866666666666667
2016-05-13 18:37:27,2016-05-13 19:46:03,4116.0,17.35,75.41,3.4,6.1909090909090905
2016-05-16 16:04:59,2016-05-16 17:26:22,4883.0,18.16,62.84,0.0,9.575
2016-05-31 12:42:15,2016-05-31 13:29:12,2817.0,17.9,60.8,0.0,22.85
2016-06-05 11:05:45,2016-06-05 11:48:53,2588.0,17.2,65.8,20.4,9.341666666666667
2016-05-25 08:41:07,2016-05-25 09:36:14,3307.0,0.0,58.34,0.0,22.866666666666667
2016-05-11 04:54:43,2016-05-11 05:18:42,1439.0,16.94,58.34,0.0,7.6
2016-06-09 06:05:29,2016-06-09 06:37:29,1920.0,17.63,70.01,0.0,12.933333333333334
2016-06-24 05:48:39,2016-06-24 06:17:44,1745.0,17.44,70.01,0.0,21.383333333333333
2016-05-29 09:02:56,2016-05-29 09:27:20,1464.0,16.58,68.34,0.0,25.933333333333334
2016-05-08 13:40:51,2016-05-08 14:22:09,2478.0,16.97,58.34,0.0,13.014285714285714
2016-06-03 04:32:17,2016-06-03 04:56:15,1438.0,17.42,70.01,0.0,17.766666666666666
2016-06-12 17:52:05,2016-06-12 18:26:07,2042.0,17.4,72.92,0.0,23.25
2016-05-31 12:51:41,2016-05-31 13:41:26,2985.0,17.3,58.34,0.0,22.85
2016-05-05 15:04:13,2016-05-05 16:24:08,4795.0,16.1,58.34,0.0,13.6
2016-06-23 10:34:21,2016-06-23 11:28:07,3226.0,19.1,69.99,0.0,15.916666666666666
2016-06-26 14:40:25,2016-06-26 15:33:27,3182.0,18.2,58.44,0.0,27.4
2016-06-02 07:19:16,2016-06-02 07:58:00,2324.0,17.5,72.89,0.0,17.8
2016-05-05 15:46:33,2016-05-05 16:56:32,4199.0,16.4,63.34,0.0,13.6
